NAME            ID      TRIBE   HAIR    FACE    HAT     ARMOR   SWORD   RING1   X       Y       STR     INT     CON     WIS     AI      INV1    INV2    INV3    INV4    INV5|||||
King Ahab    	01  	2 	0	2    	0      	15    	0      	0      	18	3	30    	15  	20   	20    	0    	0      	0      	0      	0      	0       
Queen Jezebel	02  	1 	3	1      	0      	15   	0      	0      	19 	3	10 	30	25	15	0   	0      	0      	0      	0      	0       
Elijah      	03  	0 	2     	0      	0      	6  	0      	0      	23	25	15  	25    	15    	40    	0    	0      	0      	0      	0      	0       
Captain      	04  	3	2	3      	0      	6     	0      	0      	20  	15	20   	15   	30   	12    	0    	0      	0      	0      	0      	0       
Guard   	05  	2      	0	2      	0      	6    	0      	0      	17  	15 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Wild Dog	06	4	16	4	0	0	0	0	8	8	7	1	3	1	1	0	0	0	0	0
Tame Ox 	07	6	16	6	0	0	0	0	1	21	25	1	3	1	0	0	0	0	0	0
Tame Fowl	08	5	16	5	0	0	0	0	22	22	2	1	3	1	0	0	0	0	0	0
Wild Dog	09	4	16	4	0	0	0	0	90	90	7	1	3	1	1	0	0	0	0	0
Shamir      	10	2	1	2	0	15	0	0	6	19	15	1	3	1	0	6	12	13	14	15
Wild Dog	11	4	16	4	0	0	0	0	6	13	7	1	3	1	1	0	0	0	0	0
Wild Dog	12	4	16	4	0	0	0	0	9	12	7	1	3	1	1	0	0	0	0	0
Wild Dog	13	4	16	4	0	0	0	0	50	13	7	1	3	1	1	0	0	0	0	0
Wild Dog	14	4	16	4	0	0	0	0	50	15	7	1	3	1	1	0	0	0	0	0
Wild Dog	15	4	16	4	0	0	0	0	49	14	7	1	3	1	1	0	0	0	0	0
Wild Dog	16	4	16	4	0	0	0	0	30	8	7	1	3	1	1	0	0	0	0	0
Wild Dog	17	4	16	4	0	0	0	0	40	8	7	1	3	1	1	0	0	0	0	0
Wild Dog	18	4	16	4	0	0	0	0	35	7	7	1	3	1	1	0	0	0	0	0
Wild Dog	19	4	16	4	0	0	0	0	45	7	7	1	3	1	1	0	0	0	0	0
Wild Dog	20	4	16	4	0	0	0	0	47	9	7	1	3	1	1	0	0	0	0	0
Tame Fowl	21	5	16	5	0	0	0	0	22	22	2	1	3	1	0	0	0	0	0	0
Tame Fowl	22	5	16	5	0	0	0	0	22	22	2	1	3	1	0	0	0	0	0	0
Tame Fowl	23	5	16	5	0	0	0	0	22	22	2	1	3	1	0	0	0	0	0	0
Tame Fowl	24	5	16	5	0	0	0	0	22	22	2	1	3	1	0	0	0	0	0	0
Tame Fowl	25	5	16	5	0	0	0	0	22	22	2	1	3	1	0	0	0	0	0	0 
Bridesmaid   	26  	0      	1	2      	0      	12    	0      	0      	16  	6 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Groomsman   	27  	0      	2	2      	0      	14   	0      	0      	20  	6 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Crying Woman  	28  	1      	3	1      	0      	12    	0      	0      	18  	7 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
King Ethbaal  	29  	3      	0	2      	0      	6    	0      	0      	23 	5 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Drunk Sidonian	30  	3      	0	3      	0      	14   	0      	0      	22  	7 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Fat Man   	31  	1      	2	1      	0      	14   	0      	0      	19  	8 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Fancy Lady   	32  	2      	3	2      	0      	12   	0      	0      	16  	8 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Smug Noble	33  	2      	1	2      	0      	14  	0      	0      	21  	8 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Barzel     	34	2	0	3  	0	6   	0   	0   	35 	38 	10 	10   	10 	10  	0   	1    	2   	20   	21   	22
Sweaty Villager	35  	2      	2	2      	0      	6      	0      	0      	41 	17 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Pious Ascetic	36  	0      	3	0      	0      	13   	0      	0      	4 	19 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
Laborer   	37  	2      	0	2      	0      	6      	0      	0      	51 	18 	10  	10   	10    	10    	0    	0      	0      	0      	0       0
